Event Date,Recovery Date,Days to Recover
2017-06-22,2017-06-22 10:20:00,0
2017-06-23,2017-06-23 15:17:00,0
2017-07-17,2017-07-17 11:40:00,0
2017-08-02,2017-08-02 20:38:00,0
2017-12-01,2017-12-01 12:31:00,0
2017-12-27,2017-12-27 10:50:00,0
2017-12-28,2017-12-28 15:07:00,0
2017-12-29,2017-12-29 15:22:00,0
2018-01-19,2018-01-19 10:41:00,0
2018-05-16,2018-05-16 16:19:00,0
2018-05-19,2018-05-19 15:45:00,0
2018-05-20,2018-05-21 17:09:00,1
2018-05-21,2018-05-21 17:09:00,0
2018-06-29,2018-06-29 12:11:00,0
2019-04-15,2019-04-15 07:31:00,0
2019-04-16,2019-04-16 11:28:00,0
2019-04-17,2019-04-17 17:17:00,0
2019-05-15,2019-05-15 11:21:00,0
2019-05-16,2019-05-16 05:03:00,0
2019-06-25,2019-06-25 07:44:00,0
2019-06-26,2019-06-26 07:01:00,0
2019-06-28,2019-06-28 08:17:00,0
2019-07-09,2019-07-09 11:52:00,0
2019-08-09,2019-08-09 08:09:00,0
2019-08-10,2019-08-10 22:35:00,0
2019-08-11,2019-08-11 20:35:00,0
2019-09-24,2019-09-24 13:29:00,0
2019-10-23,2019-10-23 07:09:00,0
2019-10-24,2019-10-26 17:05:00,2
2019-10-25,2019-10-26 17:05:00,1
2020-02-16,2020-02-16 08:48:00,0
2020-02-17,2020-02-17 16:57:00,0
2020-03-07,2020-03-07 09:24:00,0
2021-01-28,2021-01-28 11:17:00,0
2021-07-03,2021-07-03 08:42:00,0
2021-07-04,2021-07-04 07:48:00,0
2021-07-10,2021-07-10 10:37:00,0
2021-07-17,2021-07-17 01:10:00,0
2021-08-18,2021-08-18 10:08:00,0
2021-09-01,2021-09-01 10:53:00,0
2021-09-02,2021-09-02 00:15:00,0
2021-09-03,2021-09-04 22:58:00,1
2021-09-04,2021-09-04 22:58:00,0
2021-09-24,2021-09-24 09:04:00,0
2021-12-25,2021-12-25 09:12:00,0
2021-12-26,2021-12-27 15:44:00,1
2022-02-03,2022-02-03 12:21:00,0
2022-02-04,2022-02-05 20:14:00,1
2022-02-05,2022-02-05 20:14:00,0
2022-02-06,2022-02-06 12:02:00,0
2022-03-28,2022-03-28 06:50:00,0
2022-06-19,2022-06-19 00:38:00,0
2022-06-20,2022-06-20 15:39:00,0
2022-09-16,2022-09-16 01:01:00,0
2022-09-20,2022-09-20 06:03:00,0
2022-10-01,2022-10-01 15:32:00,0
2022-10-09,2022-10-09 14:51:00,0
2022-10-10,2022-10-10 10:43:00,0
2023-04-15,2023-04-15 00:56:00,0
2023-08-26,2023-08-26 20:05:00,0
2023-10-22,2023-10-22 09:32:00,0
2023-10-23,2023-10-23 14:55:00,0
2023-11-17,2023-11-17 06:37:00,0
2023-11-20,2023-11-20 03:41:00,0
2023-11-21,2023-11-21 10:00:00,0
2023-11-27,2023-11-27 06:28:00,0
2023-11-28,2023-11-28 11:38:00,0
2023-12-06,2023-12-06 05:33:00,0
2023-12-07,2023-12-07 10:26:00,0
2023-12-10,2023-12-10 12:12:00,0
2023-12-20,2023-12-20 00:47:00,0
2023-12-22,2023-12-22 08:53:00,0
2023-12-23,2023-12-23 10:11:00,0
2023-12-24,2023-12-24 06:48:00,0
2023-12-25,2023-12-25 00:45:00,0
2023-12-26,2023-12-26 16:11:00,0
2024-01-02,2024-01-02 02:27:00,0
2024-02-14,2024-02-14 12:27:00,0
2024-02-15,2024-02-15 10:22:00,0
2024-03-09,2024-03-09 13:50:00,0
2024-03-31,2024-03-31 14:44:00,0
2024-04-07,2024-04-07 01:15:00,0
2024-04-08,2024-04-08 17:25:00,0
2024-04-13,2024-04-13 00:16:00,0
2024-04-16,2024-04-16 13:32:00,0
2024-04-17,2024-04-17 21:18:00,0
2024-04-24,2024-04-24 13:12:00,0
2024-04-25,2024-04-25 00:56:00,0
2024-05-07,2024-05-07 16:14:00,0
2024-05-08,2024-05-08 21:26:00,0
2024-05-20,2024-05-20 10:58:00,0
2024-05-30,2024-05-30 13:50:00,0
2024-05-31,2024-05-31 02:04:00,0
2024-06-01,2024-06-01 01:05:00,0
2024-06-04,2024-06-04 11:43:00,0
2024-06-07,2024-06-07 09:06:00,0
2024-06-08,2024-06-08 04:55:00,0
2024-06-13,2024-06-13 05:31:00,0
2024-06-19,2024-06-19 00:16:00,0
2024-06-20,2024-06-20 10:34:00,0
2024-06-30,2024-06-30 13:37:00,0
2024-07-07,2024-07-07 01:14:00,0
2024-07-10,2024-07-10 01:03:00,0
2024-07-12,2024-07-12 04:16:00,0
2024-07-13,2024-07-13 00:18:00,0
2024-07-14,2024-07-14 10:41:00,0
2024-07-16,2024-07-16 01:07:00,0
2024-07-17,2024-07-17 03:12:00,0
2024-07-18,2024-07-18 00:07:00,0
2024-07-19,2024-07-19 08:51:00,0
2024-07-24,2024-07-24 06:04:00,0
2024-07-27,2024-07-28 17:54:00,1
2024-07-28,2024-07-28 17:54:00,0
2024-08-27,2024-08-27 01:12:00,0
2024-08-28,2024-08-28 07:26:00,0
2024-08-29,2024-08-30 00:10:00,1
2024-09-06,2024-09-06 15:53:00,0
2024-09-09,2024-09-09 08:29:00,0
2024-09-10,2024-09-10 12:31:00,0
2024-09-12,2024-09-12 02:42:00,0
2024-09-13,2024-09-13 09:36:00,0
2024-09-15,2024-09-15 01:44:00,0
2024-09-16,2024-09-16 08:12:00,0
2024-09-18,2024-09-18 00:03:00,0
2024-09-28,2024-09-28 00:21:00,0
2024-10-01,2024-10-01 15:33:00,0
2024-10-25,2024-10-25 14:00:00,0
2024-11-24,2024-11-24 01:49:00,0
2024-11-27,2024-11-27 13:38:00,0
2024-12-20,2024-12-20 18:19:00,0
2024-12-22,2024-12-22 11:43:00,0
2024-12-23,2024-12-23 00:01:00,0
2024-12-24,2024-12-24 05:02:00,0
2024-12-25,2024-12-25 00:01:00,0
2024-12-26,2024-12-26 00:20:00,0
2024-12-27,2024-12-27 00:38:00,0
2025-01-01,2025-01-01 05:56:00,0
2025-01-02,2025-01-02 00:02:00,0
2025-01-06,2025-01-06 08:13:00,0
2025-01-08,2025-01-08 04:37:00,0
2025-01-11,2025-01-11 08:05:00,0
2025-01-12,2025-01-12 03:33:00,0
2025-01-15,2025-01-15 00:12:00,0
2025-01-21,2025-01-21 07:44:00,0
2025-01-22,2025-01-22 20:15:00,0
2025-01-23,2025-01-23 03:39:00,0
2025-01-25,2025-01-25 00:43:00,0
2025-01-26,2025-01-26 17:37:00,0
2025-01-30,2025-01-30 01:58:00,0
